500GeV-506GeV : Integral=199.3, Divide_Bin_Width=33.2
506GeV-513GeV : Integral=220.9, Divide_Bin_Width=31.6
513GeV-519GeV : Integral=180.0, Divide_Bin_Width=30.0
519GeV-526GeV : Integral=199.7, Divide_Bin_Width=28.5
526GeV-533GeV : Integral=189.3, Divide_Bin_Width=27.0
533GeV-540GeV : Integral=179.5, Divide_Bin_Width=25.6
540GeV-547GeV : Integral=170.2, Divide_Bin_Width=24.3
547GeV-554GeV : Integral=161.5, Divide_Bin_Width=23.1
554GeV-561GeV : Integral=153.3, Divide_Bin_Width=21.9
561GeV-568GeV : Integral=145.6, Divide_Bin_Width=20.8
568GeV-575GeV : Integral=138.3, Divide_Bin_Width=19.8
575GeV-583GeV : Integral=149.7, Divide_Bin_Width=18.7
583GeV-590GeV : Integral=124.1, Divide_Bin_Width=17.7
590GeV-598GeV : Integral=134.5, Divide_Bin_Width=16.8
598GeV-605GeV : Integral=111.5, Divide_Bin_Width=15.9
605GeV-613GeV : Integral=120.9, Divide_Bin_Width=15.1
613GeV-621GeV : Integral=114.4, Divide_Bin_Width=14.3
621GeV-629GeV : Integral=108.2, Divide_Bin_Width=13.5
629GeV-637GeV : Integral=102.4, Divide_Bin_Width=12.8
637GeV-645GeV : Integral=97.0, Divide_Bin_Width=12.1
645GeV-653GeV : Integral=91.9, Divide_Bin_Width=11.5
653GeV-662GeV : Integral=97.7, Divide_Bin_Width=10.9
662GeV-670GeV : Integral=82.1, Divide_Bin_Width=10.3
670GeV-679GeV : Integral=87.3, Divide_Bin_Width=9.7
679GeV-687GeV : Integral=73.4, Divide_Bin_Width=9.2
687GeV-696GeV : Integral=78.1, Divide_Bin_Width=8.7
696GeV-705GeV : Integral=73.7, Divide_Bin_Width=8.2
705GeV-714GeV : Integral=69.6, Divide_Bin_Width=7.7
714GeV-723GeV : Integral=65.8, Divide_Bin_Width=7.3
723GeV-732GeV : Integral=62.2, Divide_Bin_Width=6.9
732GeV-741GeV : Integral=58.8, Divide_Bin_Width=6.5
741GeV-751GeV : Integral=61.6, Divide_Bin_Width=6.2
751GeV-760GeV : Integral=52.3, Divide_Bin_Width=5.8
760GeV-770GeV : Integral=54.9, Divide_Bin_Width=5.5
770GeV-779GeV : Integral=46.6, Divide_Bin_Width=5.2
779GeV-789GeV : Integral=49.0, Divide_Bin_Width=4.9
789GeV-799GeV : Integral=46.2, Divide_Bin_Width=4.6
799GeV-809GeV : Integral=43.5, Divide_Bin_Width=4.4
