550 GeV    [Post-fit Pred=2468]    [Data=2394]  
650 GeV    [Post-fit Pred=1191]    [Data=1152]  
750 GeV    [Post-fit Pred=621.4]    [Data=607]  
850 GeV    [Post-fit Pred=335.9]    [Data=341]  
950 GeV    [Post-fit Pred=201.5]    [Data=191]  
1050 GeV    [Post-fit Pred=117.2]    [Data=112]
1150 GeV    [Post-fit Pred=75.29]    [Data=72]  
1250 GeV    [Post-fit Pred=48.94]    [Data=52]  
1350 GeV    [Post-fit Pred=32.93]    [Data=44]  
1450 GeV    [Post-fit Pred=22.35]    [Data=28]  
1550 GeV    [Post-fit Pred=15.28]    [Data=12]  
1650 GeV    [Post-fit Pred=11.02]    [Data=6]  
1750 GeV    [Post-fit Pred=7.85]    [Data=8]    
1850 GeV    [Post-fit Pred=5.864]    [Data=7]  
1950 GeV    [Post-fit Pred=4.541]    [Data=3]  
2050 GeV    [Post-fit Pred=3.281]    [Data=1]  
2150 GeV    [Post-fit Pred=2.325]    [Data=1]  
2250 GeV    [Post-fit Pred=1.815]    [Data=1]  
2350 GeV    [Post-fit Pred=1.462]    [Data=2]  
2450 GeV    [Post-fit Pred=1.255]    [Data=0]  
2550 GeV    [Post-fit Pred=0.8059]    [Data=1]  
2650 GeV    [Post-fit Pred=0.7073]    [Data=0]  
2750 GeV    [Post-fit Pred=0.575]    [Data=0]  
2850 GeV    [Post-fit Pred=0.4031]    [Data=1]  
2950 GeV    [Post-fit Pred=0.3196]    [Data=0]  
3050 GeV    [Post-fit Pred=0.2535]    [Data=0]  
3150 GeV    [Post-fit Pred=0.207]    [Data=0]  
3250 GeV    [Post-fit Pred=0.1706]    [Data=0]  
3350 GeV    [Post-fit Pred=0.1333]    [Data=0]  
3450 GeV    [Post-fit Pred=0.1087]    [Data=0] 
